# Time-averaged data for fix 3
# TimeStep v_press v_vol v_etotal
12170 -30805.2 270701 -703424
12180 -32412 270898 -702910
12190 -68483.2 271078 -703877
12200 81382 271238 -705129
12210 52765.2 271423 -703237
12220 88554.3 271631 -704359
12230 41438 271858 -704980
12240 24303.5 272088 -704479
12250 -28932.4 272313 -704880
12260 68126.3 272512 -703991
12270 -12859.9 272704 -704843
12280 116854 272901 -706262
12290 10045.4 273125 -705674
12300 61437.6 273335 -705164
12310 -17013.1 273540 -704040
12320 -14294.7 273740 -704845
12330 -52967.1 273937 -704806
12340 -884.081 274124 -704372
12350 54345.4 274303 -704874
12360 52782.7 274485 -705851
12370 15046 274669 -707284
12380 52493.9 274857 -708179
12390 32308.9 275059 -707877
12400 -67877.2 275264 -707756
12410 72491 275461 -707252
12420 -1768.2 275665 -707858
12430 46506.7 275860 -708206
12440 -10462.9 276069 -708442
12450 13616 276279 -709314
12460 5505.78 276475 -709760
12470 -40551.6 276669 -710232
12480 39174.2 276861 -708542
12490 47648.6 277057 -709522
12500 -15940.5 277265 -708830
12510 -5215.32 277468 -709396
12520 21619.2 277661 -710029
12530 -20640 277833 -710887
12540 109633 277992 -709649
12550 70633.5 278175 -708895
12560 21534.5 278367 -709353
12570 -15406.8 278571 -708308
12580 48618.9 278773 -709094
12590 -8755.02 278974 -709516
12600 44524.1 279155 -710200
12610 16649.5 279344 -711728
12620 -49558.1 279544 -712065
12630 -15858.1 279736 -711266
12640 12112.1 279921 -711727
12650 68440 280121 -710249
12660 45933.3 280331 -709724
12670 37606.6 280550 -710805
12680 84452.8 280770 -711410
12690 59586.1 280985 -712884
12700 65364.8 281207 -713116
12710 -30821.2 281436 -712106
12720 -16875.7 281638 -712202
12730 106407 281821 -713582
12740 -8780.61 282025 -714364
12750 1095.93 282227 -716251
12760 41646.4 282441 -716738
12770 48829.3 282649 -717848
12780 43770.4 282842 -718857
12790 32197.7 283030 -717703
12800 47304.3 283233 -718343
12810 59530.7 283453 -718484
12820 -47561.8 283670 -718508
12830 55037.9 283861 -716914
12840 17855.2 284051 -716523
12850 -25191 284230 -716572
12860 71803.5 284374 -717086
12870 -282.077 284513 -716915
12880 3582.94 284632 -716087
12890 4180.89 284760 -717485
12900 -36567.3 284893 -719042
12910 23644.6 285012 -718924
12920 -63903.2 285127 -719467
12930 30373.9 285220 -717531
12940 84388.7 285302 -718268
12950 18994.2 285388 -719089
12960 68903.3 285492 -717302
12970 -295.793 285611 -718360
12980 -6199.75 285729 -717898
12990 17622.6 285856 -718893
13000 -1203.1 285986 -719281
13010 -6041.8 286112 -718807
13020 15061.9 286232 -719218
13030 56571.3 286351 -717641
13040 36370.2 286486 -718639
13050 -2887.96 286635 -717990
13060 31818.2 286792 -717073
13070 27177.3 286949 -717662
13080 25759.4 287089 -718195
13090 3315.63 287243 -719195
13100 -12474.5 287404 -718921
13110 5795.14 287552 -718856
13120 -41198.8 287704 -717692
13130 24891 287865 -717030
13140 35433.9 288037 -718107
13150 -11402.9 288209 -717175
13160 26506.7 288376 -718839
13170 -46249.2 288543 -719930
13180 -7869.19 288696 -720228
13190 2799.52 288849 -720665
13200 100.35 289001 -720860
13210 -13244.4 289148 -720950
13220 -7733.55 289284 -721467
13230 73172 289417 -721306
13240 56721.8 289571 -721593
13250 32133.3 289736 -723086
13260 -67193.2 289902 -723856
13270 -43473.5 290030 -723869
13280 65671.1 290138 -725044
13290 19479.6 290260 -725284
13300 -50932.1 290379 -725741
13310 40795.8 290485 -725347
13320 -448.73 290608 -725183
13330 -62852.9 290729 -724795
13340 46535.5 290825 -725497
13350 18469.2 290911 -724383
13360 -7148.26 291012 -723934
13370 23904.1 291113 -724129
13380 -14043.1 291208 -725438
13390 15647.9 291290 -724151
13400 -4538.27 291378 -725383
13410 18163.5 291479 -724891
13420 -49505 291582 -724991
13430 98440.3 291680 -724486
13440 33534.1 291796 -723688
13450 -5039 291916 -725615
13460 -7855.2 292027 -726250
13470 31712.1 292136 -725158
13480 2343.3 292260 -725561
13490 -30538.3 292394 -726581
13500 533.317 292507 -726831
13510 -37441.6 292617 -726896
13520 11762.4 292721 -727458
13530 26148.3 292833 -726660
13540 60042.7 292945 -727136
13550 22920.8 293057 -727227
13560 24599.6 293172 -727017
13570 57482.9 293301 -727385
13580 44725.4 293436 -728747
13590 -3416.18 293580 -730235
13600 -31466.3 293717 -729590
13610 -5415.25 293840 -729513
13620 51200.2 293960 -730098
13630 21209.4 294100 -730968
13640 -34851.6 294253 -731621
13650 1964.23 294392 -731555
13660 -76744.1 294526 -732511
13670 36162.7 294636 -732745
13680 13040.2 294760 -731407
13690 5718.23 294890 -732155
13700 -56499.9 295025 -731868
13710 -35959.1 295154 -732305
13720 21992 295278 -732570
13730 -2917.08 295404 -732953
13740 4936.23 295543 -732979
13750 -18188.3 295658 -732340
13760 -360.349 295759 -733042
13770 49276.9 295844 -732928
13780 5901.54 295949 -733946
13790 18929.9 296061 -733589
13800 -52494.5 296164 -732875
13810 -11620.6 296246 -733026
13820 -14825.4 296315 -732587
13830 291.189 296389 -732737
13840 58252.5 296471 -733556
13850 -16789.5 296552 -733879
13860 10982.3 296635 -733465
13870 -70289.4 296722 -733903
13880 13368.6 296812 -734466
13890 -3635.92 296907 -734100
13900 28070.1 297001 -733996
13910 -53999.8 297114 -734455
13920 3044.04 297202 -734481
13930 80890.9 297292 -732669
13940 -31830.8 297405 -731545
13950 -32127.3 297501 -731489
13960 -10764.2 297589 -731433
13970 -10345.7 297673 -730788
13980 26612.8 297766 -731657
13990 9843.4 297852 -732147
14000 -47077.2 297921 -732827
14010 -38045.8 297975 -733033
14020 -4114.87 298032 -732704
14030 23093.7 298077 -733128
14040 26282.6 298121 -734396
14050 22252.6 298180 -734795
14060 18190.2 298256 -735319
14070 -748.401 298339 -734458
14080 9925.31 298406 -735173
14090 -19070.9 298463 -734678
14100 387.881 298508 -735624
14110 -97317.3 298545 -737030
14120 22842.5 298552 -737357
14130 7450.06 298560 -738142
14140 15223.5 298555 -738556
14150 -10869.4 298557 -738516
14160 43232.8 298566 -739155
14170 48165.1 298595 -739521
14180 -28834.4 298649 -739326
14190 41784.8 298690 -737380
14200 42710.9 298733 -737573
14210 -13932.8 298776 -735969
14220 44846.6 298813 -736316
14230 -3685.53 298851 -736597
14240 -12055 298893 -736161
14250 -37507 298937 -736909
14260 -1523.72 298968 -737052
14270 5648.62 298989 -738269
14280 -9108.78 299006 -737423
14290 38482.9 299018 -738032
14300 14197.3 299034 -738681
14310 23569.6 299060 -738063
14320 7812.72 299089 -737470
14330 26759.8 299136 -737482
14340 -25975.2 299191 -736983
14350 61567.6 299243 -736463
14360 -20749 299311 -736396
14370 35698.2 299384 -736069
14380 516.975 299465 -736007
14390 12260.4 299552 -736240
14400 -25741.4 299635 -736716
14410 -47103.3 299730 -736962
14420 -3405.15 299793 -736893
14430 -35435.1 299838 -737822
14440 27144.2 299870 -737123
14450 -11219 299907 -737651
14460 -38535.7 299945 -738140
14470 -22786.1 299969 -738267
14480 -428.642 299987 -738570
14490 28851.8 300026 -738502
14500 -7383.17 300090 -738824
14510 -16900.4 300147 -738991
14520 -5548.21 300208 -739000
14530 -5430.18 300287 -737300
14540 -48566.8 300366 -736676
14550 27400.3 300420 -737025
14560 -3097.54 300463 -738120
14570 24770.2 300497 -737696
14580 40437.9 300526 -738140
14590 1564.16 300558 -737978
14600 -1294.26 300569 -737694
14610 -25089.8 300583 -737662
14620 18005.4 300596 -737308
14630 -1963.79 300616 -737898
14640 -2704.07 300636 -737669
14650 53344.3 300667 -737555
14660 -21014.8 300729 -737355
14670 -29118.6 300780 -737775
14680 24933.4 300807 -738164
14690 -14276.9 300841 -738524
14700 -23392.2 300869 -738845
14710 -6701.01 300894 -739156
14720 -33352.8 300915 -739694
14730 -4035.11 300924 -740219
14740 -23381.7 300924 -737649
14750 31045.9 300922 -737983
14760 -21539.3 300951 -738626
14770 -51544.3 300979 -739867
14780 4439.24 300997 -740608
14790 -63352.1 301017 -739685
14800 24430.4 301027 -740372
14810 11498.5 301057 -740659
14820 8377.77 301097 -740529
14830 -50363.5 301151 -740248
14840 13681.3 301193 -740199
14850 -32111.5 301229 -740856
14860 34049.5 301252 -739956
14870 7597.53 301268 -740411
14880 35263.1 301280 -739671
14890 10649.1 301309 -740062
14900 -30464.5 301339 -740199
14910 -10775.5 301360 -740132
14920 24992.3 301376 -740003
14930 -23576 301377 -740464
14940 56764.3 301367 -741642
14950 -30113.9 301394 -742571
14960 9202.2 301432 -743508
14970 10984.6 301483 -743265
14980 -24022.3 301529 -742937
14990 -35691.3 301563 -743701
15000 -20527.8 301598 -743267
15010 -118192 301627 -743810
15020 5790.39 301623 -744356
